Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit03,https://raw.githubusercontent.com/kindamessi/test/main/post-visit-wallpaper-ipad-pro-10p5in-0220.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/sncfall.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/417.png,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
KittyCat02,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/techbar.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit11,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/milo.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit12,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/cat1.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit18,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/cat2.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit16,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/cat3.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit15,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/cat4.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit13,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/cat5,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
Exhibit14,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/content/70328412892__2CB326FF-DF6E-4E3C-A5CF-569D50046870.HEIC,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,yes
